TopicNumber,Topic,URL,Publication,Category,HeroImage,HeroFilename,HeroAltText,SectionImageCount,SectionImagePaths,Uniqueness,Format,QAStatus
15,"OCR-Powered Asset Search","/features/ocr-powered-asset-search",published,search-discovery,"/images/topics/ocr-powered-asset-search/ocr-powered-asset-search-hero.webp","ocr-powered-asset-search-hero.webp","Illustrative photograph of a person looking through a large visual archive",2,"/images/topics/ocr-powered-asset-search/ocr-powered-asset-search-when-the-words-you-remember-ar.webp; /images/topics/ocr-powered-asset-search/ocr-powered-asset-search-tracking-down-a-retired-taglin.webp",verified-unique,webp,passed
16,"Search Across Creative Libraries","/features/search-across-creative-libraries",published,search-discovery,"/images/topics/search-across-creative-libraries/search-across-creative-libraries-hero.webp","search-across-creative-libraries-hero.webp","Illustrative photograph of a person looking through a large visual archive",2,"/images/topics/search-across-creative-libraries/search-across-creative-libraries-one-search-instead-of-a-tour-o.webp; /images/topics/search-across-creative-libraries/search-across-creative-libraries-a-flagship-products-history-ga.webp",verified-unique,webp,passed
17,"Saved Asset Searches","/features/saved-asset-searches",published,search-discovery,"/images/topics/saved-asset-searches/saved-asset-searches-hero.webp","saved-asset-searches-hero.webp","Illustrative photograph of a person looking through a large visual archive",1,"/images/topics/saved-asset-searches/saved-asset-searches-searches-worth-keeping-passed-.webp",verified-unique,webp,passed
18,"Natural Language Asset Search","/features/natural-language-asset-search",published,search-discovery,"/images/topics/natural-language-asset-search/natural-language-asset-search-hero.webp","natural-language-asset-search-hero.webp","Illustrative photograph of a person looking through a large visual archive",2,"/images/topics/natural-language-asset-search/natural-language-asset-search-searching-the-way-memory-works.webp; /images/topics/natural-language-asset-search/natural-language-asset-search-a-photograph-found-from-a-seco.webp",verified-unique,webp,passed
19,"Advanced Media Filters","/features/advanced-media-filters",published,search-discovery,"/images/topics/advanced-media-filters/advanced-media-filters-hero.webp","advanced-media-filters-hero.webp","Illustrative photograph of a person looking through a large visual archive",2,"/images/topics/advanced-media-filters/advanced-media-filters-reducing-a-large-library-to-a-.webp; /images/topics/advanced-media-filters/advanced-media-filters-what-each-filter-is-good-for.webp",verified-unique,webp,passed
20,"Fast Asset Discovery","/features/fast-asset-discovery",framed,search-discovery,"/images/topics/fast-asset-discovery/fast-asset-discovery-hero.webp","fast-asset-discovery-hero.webp","Illustrative photograph of a person looking through a large visual archive",1,"/images/topics/fast-asset-discovery/fast-asset-discovery-where-the-time-goes-when-someo.webp",verified-unique,webp,passed
21,"Creative Asset Indexing","/features/creative-asset-indexing",published,search-discovery,"/images/topics/creative-asset-indexing/creative-asset-indexing-hero.webp","creative-asset-indexing-hero.webp","Illustrative photograph of a person looking through a large visual archive",1,"/images/topics/creative-asset-indexing/creative-asset-indexing-an-indexed-picture-of-the-libr.webp",verified-unique,webp,passed
22,"Media Metadata Management","/features/media-metadata-management",published,search-discovery,"/images/topics/media-metadata-management/media-metadata-management-hero.webp","media-metadata-management-hero.webp","Illustrative photograph of a person looking through a large visual archive",2,"/images/topics/media-metadata-management/media-metadata-management-the-context-a-file-carries-kep.webp; /images/topics/media-metadata-management/media-metadata-management-five-kinds-of-recorded-informa.webp",verified-unique,webp,passed
23,"Asset Metadata Search","/features/asset-metadata-search",published,search-discovery,"/images/topics/asset-metadata-search/asset-metadata-search-hero.webp","asset-metadata-search-hero.webp","Illustrative photograph of a person looking through a large visual archive",2,"/images/topics/asset-metadata-search/asset-metadata-search-a-way-in-when-the-name-and-the.webp; /images/topics/asset-metadata-search/asset-metadata-search-an-inherited-agency-archive-se.webp",verified-unique,webp,passed
24,"Creative File Discovery","/features/creative-file-discovery",published,search-discovery,"/images/topics/creative-file-discovery/creative-file-discovery-hero.webp","creative-file-discovery-hero.webp","Illustrative photograph of a person looking through a large visual archive",2,"/images/topics/creative-file-discovery/creative-file-discovery-one-search-for-every-kind-of-c.webp; /images/topics/creative-file-discovery/creative-file-discovery-how-each-kind-of-file-joins-th.webp",verified-unique,webp,passed
25,"Searchable Video Library","/features/searchable-video-library",published,search-discovery,"/images/topics/searchable-video-library/searchable-video-library-hero.webp","searchable-video-library-hero.webp","Illustrative photograph of a person looking through a large visual archive",2,"/images/topics/searchable-video-library/searchable-video-library-footage-that-can-be-found-with.webp; /images/topics/searchable-video-library/searchable-video-library-a-pitch-reel-built-from-past-e.webp",verified-unique,webp,passed
26,"Searchable Image Library","/features/searchable-image-library",published,search-discovery,"/images/topics/searchable-image-library/searchable-image-library-hero.webp","searchable-image-library-hero.webp","Illustrative photograph of a person looking through a large visual archive",2,"/images/topics/searchable-image-library/searchable-image-library-photography-made-once-and-foun.webp; /images/topics/searchable-image-library/searchable-image-library-how-one-photograph-can-serve-s.webp",verified-unique,webp,passed
27,"Searchable Document Library","/features/searchable-document-library",published,search-discovery,"/images/topics/searchable-document-library/searchable-document-library-hero.webp","searchable-document-library-hero.webp","Illustrative photograph of a person looking through a large visual archive",2,"/images/topics/searchable-document-library/searchable-document-library-the-paperwork-of-creative-work.webp; /images/topics/searchable-document-library/searchable-document-library-a-returning-clients-paperwork-.webp",verified-unique,webp,passed
28,"Searchable Audio Library","/features/searchable-audio-library",published,search-discovery,"/images/topics/searchable-audio-library/searchable-audio-library-hero.webp","searchable-audio-library-hero.webp","Illustrative photograph of a person looking through a large visual archive",1,"/images/topics/searchable-audio-library/searchable-audio-library-sound-kept-with-the-rest-of-th.webp",verified-unique,webp,passed
29,"Creative Library Navigation","/features/creative-library-navigation",published,search-discovery,"/images/topics/creative-library-navigation/creative-library-navigation-hero.webp","creative-library-navigation-hero.webp","Illustrative photograph of a person looking through a large visual archive",2,"/images/topics/creative-library-navigation/creative-library-navigation-from-looking-around-the-librar.webp; /images/topics/creative-library-navigation/creative-library-navigation-one-task-moving-from-explorati.webp",verified-unique,webp,passed
30,"Asset Discovery Workflow","/features/asset-discovery-workflow",published,search-discovery,"/images/topics/asset-discovery-workflow/asset-discovery-workflow-hero.webp","asset-discovery-workflow-hero.webp","Illustrative photograph of a person looking through a large visual archive",2,"/images/topics/asset-discovery-workflow/asset-discovery-workflow-four-stages-between-a-request-.webp; /images/topics/asset-discovery-workflow/asset-discovery-workflow-a-weekly-request-for-social-co.webp",verified-unique,webp,passed
31,"AI-Assisted Tagging","/features/ai-assisted-tagging",published,ai,"/images/topics/ai-assisted-tagging/ai-assisted-tagging-hero.webp","ai-assisted-tagging-hero.webp","Illustrative photograph of a workspace where visual material is being reviewed",1,"/images/topics/ai-assisted-tagging/ai-assisted-tagging-tags-suggested-while-each-asse.webp",verified-unique,webp,passed
32,"AI Vision Analysis","/features/ai-vision-analysis",framed,ai,"/images/topics/ai-vision-analysis/ai-vision-analysis-hero.webp","ai-vision-analysis-hero.webp","Illustrative photograph of a workspace where visual material is being reviewed",1,"/images/topics/ai-vision-analysis/ai-vision-analysis-reading-what-an-image-shows-no.webp",verified-unique,webp,passed
33,"AI Scene Detection","/features/ai-scene-detection",held,ai,"/images/topics/ai-scene-detection/ai-scene-detection-hero.webp","ai-scene-detection-hero.webp","Illustrative photograph of a workspace where visual material is being reviewed",2,"/images/topics/ai-scene-detection/ai-scene-detection-a-long-video-divided-into-sect.webp; /images/topics/ai-scene-detection/ai-scene-detection-interview-footage-searched-wit.webp",verified-unique,webp,passed
34,"AI Object Detection","/features/ai-object-detection",published,ai,"/images/topics/ai-object-detection/ai-object-detection-hero.webp","ai-object-detection-hero.webp","Illustrative photograph of a workspace where visual material is being reviewed",2,"/images/topics/ai-object-detection/ai-object-detection-naming-the-things-that-appear-.webp; /images/topics/ai-object-detection/ai-object-detection-homeware-imagery-found-by-what.webp",verified-unique,webp,passed
35,"AI Mood Detection","/features/ai-mood-detection",published,ai,"/images/topics/ai-mood-detection/ai-mood-detection-hero.webp","ai-mood-detection-hero.webp","Illustrative photograph of a workspace where visual material is being reviewed",1,"/images/topics/ai-mood-detection/ai-mood-detection-finding-material-by-the-feelin.webp",verified-unique,webp,passed
36,"AI Colour Detection","/features/ai-colour-detection",published,ai,"/images/topics/ai-colour-detection/ai-colour-detection-hero.webp","ai-colour-detection-hero.webp","Illustrative photograph of a workspace where visual material is being reviewed",3,"/images/topics/ai-colour-detection/ai-colour-detection-colour-as-a-route-into-a-visua.webp; /images/topics/ai-colour-detection/ai-colour-detection-requests-where-colour-is-the-q.webp; /images/topics/ai-colour-detection/ai-colour-detection-an-autumn-palette-built-from-p.webp",verified-unique,webp,passed
37,"AI Face Grouping","/features/ai-face-grouping",held,ai,"/images/topics/ai-face-grouping/ai-face-grouping-hero.webp","ai-face-grouping-hero.webp","Illustrative photograph of a workspace where visual material is being reviewed",2,"/images/topics/ai-face-grouping/ai-face-grouping-the-same-person-found-across-t.webp; /images/topics/ai-face-grouping/ai-face-grouping-an-anniversary-archive-assembl.webp",verified-unique,webp,passed
38,"AI OCR","/features/ai-ocr",published,ai,"/images/topics/ai-ocr/ai-ocr-hero.webp","ai-ocr-hero.webp","Illustrative photograph of a workspace where visual material is being reviewed",3,"/images/topics/ai-ocr/ai-ocr-text-taken-out-of-files-and-ke.webp; /images/topics/ai-ocr/ai-ocr-where-text-extraction-sits-in-.webp; /images/topics/ai-ocr/ai-ocr-a-print-archive-whose-words-ca.webp",verified-unique,webp,passed
39,"AI Semantic Search","/features/ai-semantic-search",published,ai,"/images/topics/ai-semantic-search/ai-semantic-search-hero.webp","ai-semantic-search-hero.webp","Illustrative photograph of a workspace where visual material is being reviewed",1,"/images/topics/ai-semantic-search/ai-semantic-search-search-that-works-from-what-a-.webp",verified-unique,webp,passed
40,"AI Duplicate Detection","/features/ai-duplicate-detection",published,ai,"/images/topics/ai-duplicate-detection/ai-duplicate-detection-hero.webp","ai-duplicate-detection-hero.webp","Illustrative photograph of a workspace where visual material is being reviewed",1,"/images/topics/ai-duplicate-detection/ai-duplicate-detection-two-kinds-of-fingerprint-for-o.webp",verified-unique,webp,passed
41,"AI Auto Collections","/features/ai-auto-collections",held,ai,"/images/topics/ai-auto-collections/ai-auto-collections-hero.webp","ai-auto-collections-hero.webp","Illustrative photograph of a workspace where visual material is being reviewed",1,"/images/topics/ai-auto-collections/ai-auto-collections-groupings-proposed-by-the-libr.webp",verified-unique,webp,passed
42,"AI Asset Classification","/features/ai-asset-classification",published,ai,"/images/topics/ai-asset-classification/ai-asset-classification-hero.webp","ai-asset-classification-hero.webp","Illustrative photograph of a workspace where visual material is being reviewed",1,"/images/topics/ai-asset-classification/ai-asset-classification-categorising-assets-with-less-.webp",verified-unique,webp,passed
43,"AI Media Understanding","/features/ai-media-understanding",published,ai,"/images/topics/ai-media-understanding/ai-media-understanding-hero.webp","ai-media-understanding-hero.webp","Illustrative photograph of a workspace where visual material is being reviewed",2,"/images/topics/ai-media-understanding/ai-media-understanding-interpretation-that-ends-up-wh.webp; /images/topics/ai-media-understanding/ai-media-understanding-an-unlabelled-photography-arch.webp",verified-unique,webp,passed
44,"AI Creative Intelligence","/features/ai-creative-intelligence",published,ai,"/images/topics/ai-creative-intelligence/ai-creative-intelligence-hero.webp","ai-creative-intelligence-hero.webp","Illustrative photograph of a workspace where visual material is being reviewed",1,"/images/topics/ai-creative-intelligence/ai-creative-intelligence-from-anonymous-files-to-assets.webp",verified-unique,webp,passed
45,"AI-Powered Asset Management","/features/ai-powered-asset-management",published,ai,"/images/topics/ai-powered-asset-management/ai-powered-asset-management-hero.webp","ai-powered-asset-management-hero.webp","Illustrative photograph of a workspace where visual material is being reviewed",2,"/images/topics/ai-powered-asset-management/ai-powered-asset-management-automated-analysis-with-people.webp; /images/topics/ai-powered-asset-management/ai-powered-asset-management-where-automation-and-people-me.webp",verified-unique,webp,passed
46,"AI Tag Confidence","/features/ai-tag-confidence",published,ai,"/images/topics/ai-tag-confidence/ai-tag-confidence-hero.webp","ai-tag-confidence-hero.webp","Illustrative photograph of a workspace where visual material is being reviewed",2,"/images/topics/ai-tag-confidence/ai-tag-confidence-a-measure-of-how-strongly-a-ta.webp; /images/topics/ai-tag-confidence/ai-tag-confidence-a-festival-photography-batch-r.webp",verified-unique,webp,passed
47,"AI Tag Approval","/features/ai-tag-approval",published,ai,"/images/topics/ai-tag-approval/ai-tag-approval-hero.webp","ai-tag-approval-hero.webp","Illustrative photograph of a workspace where visual material is being reviewed",1,"/images/topics/ai-tag-approval/ai-tag-approval-one-decision-that-covers-many-.webp",verified-unique,webp,passed
48,"AI Tag Override","/features/ai-tag-override",published,ai,"/images/topics/ai-tag-override/ai-tag-override-hero.webp","ai-tag-override-hero.webp","Illustrative photograph of a workspace where visual material is being reviewed",2,"/images/topics/ai-tag-override/ai-tag-override-the-teams-vocabulary-has-the-f.webp; /images/topics/ai-tag-override/ai-tag-override-outdoor-gear-imagery-brought-i.webp",verified-unique,webp,passed
49,"AI Creative Search","/features/ai-creative-search",published,ai,"/images/topics/ai-creative-search/ai-creative-search-hero.webp","ai-creative-search-hero.webp","Illustrative photograph of a workspace where visual material is being reviewed",3,"/images/topics/ai-creative-search/ai-creative-search-from-a-description-in-your-hea.webp; /images/topics/ai-creative-search/ai-creative-search-creative-tasks-that-start-bett.webp; /images/topics/ai-creative-search/ai-creative-search-an-appeal-image-found-by-descr.webp",verified-unique,webp,passed
50,"AI Media Indexing","/features/ai-media-indexing",published,ai,"/images/topics/ai-media-indexing/ai-media-indexing-hero.webp","ai-media-indexing-hero.webp","Illustrative photograph of a workspace where visual material is being reviewed",1,"/images/topics/ai-media-indexing/ai-media-indexing-preparing-media-so-a-search-ha.webp",verified-unique,webp,passed
51,"AI-Powered Video Discovery","/features/ai-powered-video-discovery",framed,ai,"/images/topics/ai-powered-video-discovery/ai-powered-video-discovery-hero.webp","ai-powered-video-discovery-hero.webp","Illustrative photograph of a workspace where visual material is being reviewed",1,"/images/topics/ai-powered-video-discovery/ai-powered-video-discovery-footage-that-does-not-wait-for.webp",verified-unique,webp,passed
52,"AI-Powered Image Discovery","/features/ai-powered-image-discovery",published,ai,"/images/topics/ai-powered-image-discovery/ai-powered-image-discovery-hero.webp","ai-powered-image-discovery-hero.webp","Illustrative photograph of a workspace where visual material is being reviewed",2,"/images/topics/ai-powered-image-discovery/ai-powered-image-discovery-images-described-by-what-they-.webp; /images/topics/ai-powered-image-discovery/ai-powered-image-discovery-a-press-image-found-without-kn.webp",verified-unique,webp,passed
53,"AI Document Discovery","/features/ai-document-discovery",published,ai,"/images/topics/ai-document-discovery/ai-document-discovery-hero.webp","ai-document-discovery-hero.webp","Illustrative photograph of a workspace where visual material is being reviewed",2,"/images/topics/ai-document-discovery/ai-document-discovery-two-kinds-of-clue-brought-to-o.webp; /images/topics/ai-document-discovery/ai-document-discovery-a-location-release-traced-befo.webp",verified-unique,webp,passed
54,"AI Creative Workflow","/features/ai-creative-workflow",published,ai,"/images/topics/ai-creative-workflow/ai-creative-workflow-hero.webp","ai-creative-workflow-hero.webp","Illustrative photograph of a workspace where visual material is being reviewed",1,"/images/topics/ai-creative-workflow/ai-creative-workflow-ai-woven-through-the-library-n.webp",verified-unique,webp,passed
55,"AI Media Automation","/features/ai-media-automation",published,ai,"/images/topics/ai-media-automation/ai-media-automation-hero.webp","ai-media-automation-hero.webp","Illustrative photograph of a workspace where visual material is being reviewed",3,"/images/topics/ai-media-automation/ai-media-automation-the-chores-that-repeat-with-ev.webp; /images/topics/ai-media-automation/ai-media-automation-repetitive-media-tasks-and-wha.webp; /images/topics/ai-media-automation/ai-media-automation-a-daily-flow-of-social-content.webp",verified-unique,webp,passed
56,"AI Asset Recommendations","/features/ai-asset-recommendations",framed,ai,"/images/topics/ai-asset-recommendations/ai-asset-recommendations-hero.webp","ai-asset-recommendations-hero.webp","Illustrative photograph of a workspace where visual material is being reviewed",2,"/images/topics/ai-asset-recommendations/ai-asset-recommendations-proposals-about-an-asset-waiti.webp; /images/topics/ai-asset-recommendations/ai-asset-recommendations-a-clients-brand-archive-descri.webp",verified-unique,webp,passed
57,"AI Library Organisation","/features/ai-library-organisation",published,ai,"/images/topics/ai-library-organisation/ai-library-organisation-hero.webp","ai-library-organisation-hero.webp","Illustrative photograph of a workspace where visual material is being reviewed",1,"/images/topics/ai-library-organisation/ai-library-organisation-order-kept-up-as-material-arri.webp",verified-unique,webp,passed
58,"AI Asset Intelligence","/features/ai-asset-intelligence",published,ai,"/images/topics/ai-asset-intelligence/ai-asset-intelligence-hero.webp","ai-asset-intelligence-hero.webp","Illustrative photograph of a workspace where visual material is being reviewed",2,"/images/topics/ai-asset-intelligence/ai-asset-intelligence-three-sources-of-knowledge-one.webp; /images/topics/ai-asset-intelligence/ai-asset-intelligence-an-archive-request-answered-by.webp",verified-unique,webp,passed
59,"AI Creative Operations","/features/ai-creative-operations",published,ai,"/images/topics/ai-creative-operations/ai-creative-operations-hero.webp","ai-creative-operations-hero.webp","Illustrative photograph of a workspace where visual material is being reviewed",2,"/images/topics/ai-creative-operations/ai-creative-operations-less-effort-on-the-files-more-.webp; /images/topics/ai-creative-operations/ai-creative-operations-a-product-launch-without-a-str.webp",verified-unique,webp,passed
60,"Practical AI for Creative Teams","/features/practical-ai-for-creative-teams",published,ai,"/images/topics/practical-ai-for-creative-teams/practical-ai-for-creative-teams-hero.webp","practical-ai-for-creative-teams-hero.webp","Illustrative photograph of a workspace where visual material is being reviewed",2,"/images/topics/practical-ai-for-creative-teams/practical-ai-for-creative-teams-ai-judged-by-the-library-probl.webp; /images/topics/practical-ai-for-creative-teams/practical-ai-for-creative-teams-a-studio-starts-with-its-most-.webp",verified-unique,webp,passed
61,"Creative Team Collaboration","/features/creative-team-collaboration",published,collaboration,"/images/topics/creative-team-collaboration/creative-team-collaboration-hero.webp","creative-team-collaboration-hero.webp","Illustrative photograph of a creative team reviewing work together",2,"/images/topics/creative-team-collaboration/creative-team-collaboration-conversations-that-happen-wher.webp; /images/topics/creative-team-collaboration/creative-team-collaboration-collaboration-features-gathere.webp",verified-unique,webp,passed
62,"Asset Comments","/features/asset-comments",published,collaboration,"/images/topics/asset-comments/asset-comments-hero.webp","asset-comments-hero.webp","Illustrative photograph of a creative team reviewing work together",3,"/images/topics/asset-comments/asset-comments-a-note-that-belongs-to-the-fil.webp; /images/topics/asset-comments/asset-comments-where-an-asset-comment-goes-fr.webp; /images/topics/asset-comments/asset-comments-packaging-feedback-left-where-.webp",verified-unique,webp,passed
63,"Threaded Comments","/features/threaded-comments",published,collaboration,"/images/topics/threaded-comments/threaded-comments-hero.webp","threaded-comments-hero.webp","Illustrative photograph of a creative team reviewing work together",1,"/images/topics/threaded-comments/threaded-comments-one-conversation-per-issue-not.webp",verified-unique,webp,passed
64,"Video Timeline Comments","/features/video-timeline-comments",published,collaboration,"/images/topics/video-timeline-comments/video-timeline-comments-hero.webp","video-timeline-comments-hero.webp","Illustrative photograph of a creative team reviewing work together",2,"/images/topics/video-timeline-comments/video-timeline-comments-feedback-that-sits-at-the-mome.webp; /images/topics/video-timeline-comments/video-timeline-comments-a-product-film-reviewed-withou.webp",verified-unique,webp,passed
65,"Frame-Accurate Review","/features/frame-accurate-review",published,collaboration,"/images/topics/frame-accurate-review/frame-accurate-review-hero.webp","frame-accurate-review-hero.webp","Illustrative photograph of a creative team reviewing work together",2,"/images/topics/frame-accurate-review/frame-accurate-review-discussing-the-moment-itself-n.webp; /images/topics/frame-accurate-review/frame-accurate-review-a-short-commercial-checked-mom.webp",verified-unique,webp,passed
66,"Team Mentions","/features/team-mentions",published,collaboration,"/images/topics/team-mentions/team-mentions-hero.webp","team-mentions-hero.webp","Illustrative photograph of a creative team reviewing work together",1,"/images/topics/team-mentions/team-mentions-mentioning-the-people-who-can-.webp",verified-unique,webp,passed
67,"Creative Approval Workflow","/features/creative-approval-workflow",published,collaboration,"/images/topics/creative-approval-workflow/creative-approval-workflow-hero.webp","creative-approval-workflow-hero.webp","Illustrative photograph of a creative team reviewing work together",3,"/images/topics/creative-approval-workflow/creative-approval-workflow-a-loop-from-request-to-approva.webp; /images/topics/creative-approval-workflow/creative-approval-workflow-stages-of-one-approval-round.webp; /images/topics/creative-approval-workflow/creative-approval-workflow-an-event-brochure-through-two-.webp",verified-unique,webp,passed
68,"Asset Approval","/features/asset-approval",published,collaboration,"/images/topics/asset-approval/asset-approval-hero.webp","asset-approval-hero.webp","Illustrative photograph of a creative team reviewing work together",1,"/images/topics/asset-approval/asset-approval-knowing-where-an-asset-stands-.webp",verified-unique,webp,passed
69,"Creative Review","/features/creative-review",published,collaboration,"/images/topics/creative-review/creative-review-hero.webp","creative-review-hero.webp","Illustrative photograph of a creative team reviewing work together",2,"/images/topics/creative-review/creative-review-inspect-discuss-and-confirm-in.webp; /images/topics/creative-review/creative-review-what-a-central-review-location.webp",verified-unique,webp,passed
70,"Campaign Review","/features/campaign-review",published,collaboration,"/images/topics/campaign-review/campaign-review-hero.webp","campaign-review-hero.webp","Illustrative photograph of a creative team reviewing work together",1,"/images/topics/campaign-review/campaign-review-checking-a-campaign-before-it-.webp",verified-unique,webp,passed
71,"Brand Asset Approval","/features/brand-asset-approval",published,collaboration,"/images/topics/brand-asset-approval/brand-asset-approval-hero.webp","brand-asset-approval-hero.webp","Illustrative photograph of a creative team reviewing work together",2,"/images/topics/brand-asset-approval/brand-asset-approval-a-gate-between-work-in-progres.webp; /images/topics/brand-asset-approval/brand-asset-approval-controls-that-work-alongside-t.webp",verified-unique,webp,passed
72,"Client Review","/features/client-review",published,collaboration,"/images/topics/client-review/client-review-hero.webp","client-review-hero.webp","Illustrative photograph of a creative team reviewing work together",2,"/images/topics/client-review/client-review-reviewing-work-for-many-client.webp; /images/topics/client-review/client-review-two-competing-accounts-reviewe.webp",verified-unique,webp,passed
73,"Team Feedback","/features/team-feedback",published,collaboration,"/images/topics/team-feedback/team-feedback-hero.webp","team-feedback-hero.webp","Illustrative photograph of a creative team reviewing work together",1,"/images/topics/team-feedback/team-feedback-feedback-that-stays-with-the-w.webp",verified-unique,webp,passed
