pdf_page,title,pdf_group,status,merged_into,section,category,role,url,aliases,parent,breadcrumb,page_type,recipe,primary_topic,intent,purpose,key_statement,angle,clusters,related,mentions,related_features,related_resources,related_faqs,related_use_cases,children,cta_primary,cta_contextual,seo_title,meta_description,canonical,schema_types,robots,in_sitemap,search_group,visual_medium,visual_concept,claims,needs_verification,publication,context_page,source_text
1,GetSibu — Creative Asset Management Platform,1-10 Platform,canonical,,Home,home,home,/,,,Home,— Home,home,getsibu — creative asset management platform,navigational,Establish what GetSibu is and route each audience to the right part of the site.,"GetSibu is an intelligent creative asset management platform designed to help teams store, organise, search, review and collaborate on videos, images, documents and audio from one central workspace.","Homepage: the platform in one statement — store, organise, search, review and collaborate from one workspace.",What GetSibu is; One central library,6 Centralised Creative Asset Library; 2 The Operating System for Creative Libraries; 3 AI-Powered Digital Asset Management; 5 Intelligent Media Library; 7 Modern Digital Asset Management; 10 One Source of Truth for Creative Teams,,6 Centralised Creative Asset Library; 2 The Operating System for Creative Libraries; 3 AI-Powered Digital Asset Management; 5 Intelligent Media Library,373 What Is a Creative Library?,381 What Is GetSibu?; 382 Who Is GetSibu For?,,0,Start free -> https://getsibu.com/signup,Bring Your Creative Assets Together -> /get-started/bring-your-creative-assets-together,GetSibu — Creative Asset Management Platform,"GetSibu is an intelligent creative asset management platform where teams store, organise, search, review and collaborate on videos, images, documents and audio.",/,WebPage Organization WebSite,"index,follow",true,Platform,product-ui diagram,"One central creative library: videos, images, documents and audio arriving from connected sources and becoming searchable.",,false,published,,"GetSibu is an intelligent creative asset management platform designed to help teams store, organise, search, review and collaborate on videos, images, documents and audio from one central workspace. Instead of depending on scattered folders, disconnected drives and complicated naming systems, GetSibu creates a searchable creative library where teams can quickly locate the right asset and understand its context."
60,Practical AI for Creative Teams,31-60 AI Features,canonical,,Features,ai,leaf,/features/practical-ai-for-creative-teams,,/features/ai,Home > Features > AI > Practical AI for Creative Teams,C AI Feature,ai-operations,practical ai for creative teams,commercial,"Show what GetSibu's AI analyses, what becomes searchable as a result, and how people stay in control of it.","GetSibu focuses AI capabilities on practical library problems such as discovery, organisation, tagging, OCR, duplicate detection and media analysis rather than adding AI features without a workflow purpose.",Focus: AI aimed at practical library problems with a workflow purpose.,"Practical, human-controlled AI",59 AI Creative Operations; 55 AI Media Automation; 54 AI Creative Workflow; 45 AI-Powered Asset Management; 9 AI-Aware Asset Management; 3 AI-Powered Digital Asset Management,38 AI OCR; 40 AI Duplicate Detection,59 AI Creative Operations; 55 AI Media Automation; 54 AI Creative Workflow; 45 AI-Powered Asset Management,362 What Is AI Asset Management?; 377 How AI Changes DAM,,,0,Start free -> https://getsibu.com/signup,Turn Your Asset Library Into Intelligence -> /get-started/turn-your-asset-library-into-intelligence,Practical AI for Creative Teams | GetSibu,"GetSibu focuses AI capabilities on practical library problems such as discovery, organisation, tagging, OCR, duplicate detection and media analysis.",/features/practical-ai-for-creative-teams,WebPage BreadcrumbList,"index,follow",true,AI,diagram product-ui,"Media in, understanding out: an asset with the detected signal overlaid (objects, scenes, moods, colours, faces, text) and the resulting tag with its approval state.",ocr duplicate-detection,false,published,,"GetSibu focuses AI capabilities on practical library problems such as discovery, organisation, tagging, OCR, duplicate detection and media analysis rather than adding AI features without a workflow purpose."
61,Creative Team Collaboration,61-90 Collaboration,canonical,,Features,collaboration,leaf,/features/creative-team-collaboration,,/features/collaboration,Home > Features > Collaboration > Creative Team Collaboration,B Feature,feature-split,creative team collaboration,commercial,"Explain one capability: what it does, how it works in the library, and where it fits in the team's workflow.",GetSibu provides collaboration features directly inside the asset library so teams can discuss files without moving conversations into disconnected tools.,Collaboration inside the library instead of disconnected tools.,Comments and feedback; Collaboration by team,62 Asset Comments; 90 Creative Team Workspace; 63 Threaded Comments; 66 Team Mentions; 73 Team Feedback; 74 Creative Feedback Management,,62 Asset Comments; 90 Creative Team Workspace; 63 Threaded Comments; 66 Team Mentions,379 Future of Creative Collaboration,,,0,Start free -> https://getsibu.com/signup,Build a Smarter Creative Workflow -> /get-started/build-a-smarter-creative-workflow,Creative Team Collaboration | GetSibu,GetSibu provides collaboration features directly inside the asset library so teams can discuss files without moving conversations into disconnected tools.,/features/creative-team-collaboration,WebPage BreadcrumbList,"index,follow",true,Collaboration,product-ui diagram,"Feedback attached to the work itself: a comment pinned to a timeline frame, a thread beside an image, an approval state changing.",,false,published,,GetSibu provides collaboration features directly inside the asset library so teams can discuss files without moving conversations into disconnected tools.
62,Asset Comments,61-90 Collaboration,canonical,,Features,collaboration,leaf,/features/asset-comments,,/features/collaboration,Home > Features > Collaboration > Asset Comments,B Feature,feature-story,asset comments,commercial,"Explain one capability: what it does, how it works in the library, and where it fits in the team's workflow.","Users can leave comments directly on assets, keeping feedback attached to the creative work being discussed.","Comments on assets, attached to the work.",Comments and feedback,61 Creative Team Collaboration; 63 Threaded Comments; 66 Team Mentions; 73 Team Feedback; 74 Creative Feedback Management; 75 Asset Discussion History,,61 Creative Team Collaboration; 63 Threaded Comments; 66 Team Mentions; 73 Team Feedback,,385 Does GetSibu Support Video Comments?,216 GetSibu for Post-Production Teams,0,Start free -> https://getsibu.com/signup,Build a Smarter Creative Workflow -> /get-started/build-a-smarter-creative-workflow,Asset Comments | GetSibu,"Users can leave comments directly on assets, keeping feedback attached to the creative work being discussed.",/features/asset-comments,WebPage BreadcrumbList,"index,follow",true,Collaboration,product-ui diagram,"Feedback attached to the work itself: a comment pinned to a timeline frame, a thread beside an image, an approval state changing.",,false,published,,"Users can leave comments directly on assets, keeping feedback attached to the creative work being discussed."
63,Threaded Comments,61-90 Collaboration,canonical,,Features,collaboration,leaf,/features/threaded-comments,,/features/collaboration,Home > Features > Collaboration > Threaded Comments,B Feature,feature-split,threaded comments,commercial,"Explain one capability: what it does, how it works in the library, and where it fits in the team's workflow.",Threaded discussions allow teams to keep conversations organised around specific issues instead of creating one long stream of unrelated feedback.,Threads that keep conversations organised by issue.,Comments and feedback,62 Asset Comments; 61 Creative Team Collaboration; 66 Team Mentions; 73 Team Feedback; 74 Creative Feedback Management; 75 Asset Discussion History,,62 Asset Comments; 61 Creative Team Collaboration; 66 Team Mentions; 73 Team Feedback,,,,0,Start free -> https://getsibu.com/signup,Build a Smarter Creative Workflow -> /get-started/build-a-smarter-creative-workflow,Threaded Comments | GetSibu,Threaded discussions allow teams to keep conversations organised around specific issues instead of creating one long stream of unrelated feedback.,/features/threaded-comments,WebPage BreadcrumbList,"index,follow",true,Collaboration,product-ui diagram,"Feedback attached to the work itself: a comment pinned to a timeline frame, a thread beside an image, an approval state changing.",,false,published,,Threaded discussions allow teams to keep conversations organised around specific issues instead of creating one long stream of unrelated feedback.
64,Video Timeline Comments,61-90 Collaboration,canonical,,Features,collaboration,leaf,/features/video-timeline-comments,,/features/collaboration,Home > Features > Collaboration > Video Timeline Comments,B Feature,feature-media,video timeline comments,commercial,"Explain one capability: what it does, how it works in the library, and where it fits in the team's workflow.",Video comments can be attached to specific points on the timeline.,Comments attached to timeline points.,Video and creative review,65 Frame-Accurate Review; 81 Production Collaboration; 69 Creative Review; 62 Asset Comments; 63 Threaded Comments; 385 Does GetSibu Support Video Comments?,62 Asset Comments,65 Frame-Accurate Review; 81 Production Collaboration; 69 Creative Review; 62 Asset Comments,,385 Does GetSibu Support Video Comments?,212 GetSibu for Video Teams; 216 GetSibu for Post-Production Teams,0,Start free -> https://getsibu.com/signup,Build a Smarter Creative Workflow -> /get-started/build-a-smarter-creative-workflow,Video Timeline Comments | GetSibu,Video comments can be attached to specific points on the timeline. This gives editors and reviewers a precise location for feedback.,/features/video-timeline-comments,WebPage BreadcrumbList,"index,follow",true,Collaboration,product-ui diagram,"Feedback attached to the work itself: a comment pinned to a timeline frame, a thread beside an image, an approval state changing.",timeline-comments,false,published,,Video comments can be attached to specific points on the timeline. This gives editors and reviewers a precise location for feedback.
65,Frame-Accurate Review,61-90 Collaboration,canonical,,Features,collaboration,leaf,/features/frame-accurate-review,,/features/collaboration,Home > Features > Collaboration > Frame-Accurate Review,B Feature,feature-split,frame-accurate review,commercial,"Explain one capability: what it does, how it works in the library, and where it fits in the team's workflow.",Frame-accurate review allows creative teams to discuss specific moments in video rather than describing approximate locations through messages.,Discussing exact moments instead of approximate descriptions.,Video and creative review,64 Video Timeline Comments; 69 Creative Review; 81 Production Collaboration; 66 Team Mentions; 63 Threaded Comments; 67 Creative Approval Workflow,,64 Video Timeline Comments; 69 Creative Review; 81 Production Collaboration; 66 Team Mentions,,385 Does GetSibu Support Video Comments?,211 GetSibu for Production Studios,0,Start free -> https://getsibu.com/signup,Build a Smarter Creative Workflow -> /get-started/build-a-smarter-creative-workflow,Frame-Accurate Review | GetSibu,Frame-accurate review allows creative teams to discuss specific moments in video rather than describing approximate locations through messages.,/features/frame-accurate-review,WebPage BreadcrumbList,"index,follow",true,Collaboration,product-ui diagram,"Feedback attached to the work itself: a comment pinned to a timeline frame, a thread beside an image, an approval state changing.",frame-accurate,false,published,,Frame-accurate review allows creative teams to discuss specific moments in video rather than describing approximate locations through messages.
66,Team Mentions,61-90 Collaboration,canonical,,Features,collaboration,leaf,/features/team-mentions,,/features/collaboration,Home > Features > Collaboration > Team Mentions,B Feature,feature-story,team mentions,commercial,"Explain one capability: what it does, how it works in the library, and where it fits in the team's workflow.",Users can mention teammates inside asset discussions.,Mentions with folder-aware autocomplete — people mentioned have visibility. / The mechanism: folder-aware autocomplete for teammates with visibility.,Comments and feedback; Mentions,86 Asset Mentions; 62 Asset Comments; 63 Threaded Comments; 61 Creative Team Collaboration; 73 Team Feedback; 74 Creative Feedback Management,,86 Asset Mentions; 62 Asset Comments; 63 Threaded Comments; 61 Creative Team Collaboration,,,,0,Start free -> https://getsibu.com/signup,Build a Smarter Creative Workflow -> /get-started/build-a-smarter-creative-workflow,Team Mentions | GetSibu,Users can mention teammates inside asset discussions. Folder-aware autocomplete helps ensure that users can mention people who have appropriate visibility.,/features/team-mentions,WebPage BreadcrumbList,"index,follow",true,Collaboration,product-ui diagram,"Feedback attached to the work itself: a comment pinned to a timeline frame, a thread beside an image, an approval state changing.",folder-aware-mentions,false,published,,Users can mention teammates inside asset discussions. Folder-aware autocomplete helps ensure that users can mention people who have appropriate visibility.
67,Creative Approval Workflow,61-90 Collaboration,canonical,,Features,collaboration,leaf,/features/creative-approval-workflow,,/features/collaboration,Home > Features > Collaboration > Creative Approval Workflow,E Governance / Lifecycle,workflow-timeline,creative approval workflow,commercial,"Explain how an asset moves through versions, statuses and lifecycle stages, and what record is kept.","GetSibu provides approval workflows that allow teams to request review, make changes and mark assets as approved.","The workflow: request review, make changes, mark approved.",Approvals; End-to-end creative workflow,80 Creative Workflow Management; 68 Asset Approval; 69 Creative Review; 70 Campaign Review; 71 Brand Asset Approval; 396 Build a Smarter Creative Workflow,,80 Creative Workflow Management; 68 Asset Approval; 69 Creative Review; 70 Campaign Review,370 What Is Creative Approval?; 371 What Is Creative Governance?; 379 Future of Creative Collaboration,,223 GetSibu for Enterprise Marketing; 224 GetSibu for Global Brands,0,Start free -> https://getsibu.com/signup,Build a Smarter Creative Workflow -> /get-started/build-a-smarter-creative-workflow,Creative Approval Workflow | GetSibu,"GetSibu provides approval workflows that allow teams to request review, make changes and mark assets as approved.",/features/creative-approval-workflow,WebPage BreadcrumbList,"index,follow",true,Collaboration,product-ui diagram,"Feedback attached to the work itself: a comment pinned to a timeline frame, a thread beside an image, an approval state changing.",,false,published,,"GetSibu provides approval workflows that allow teams to request review, make changes and mark assets as approved."
68,Asset Approval,61-90 Collaboration,canonical,,Features,collaboration,leaf,/features/asset-approval,,/features/collaboration,Home > Features > Collaboration > Asset Approval,E Governance / Lifecycle,workflow-states,asset approval,commercial,"Explain how an asset moves through versions, statuses and lifecycle stages, and what record is kept.","Assets can move through an approval process with status history, creating a clear record of whether content is awaiting review, approved or requires changes.","Status history: awaiting review, approved, requires changes.",Approvals,67 Creative Approval Workflow; 69 Creative Review; 70 Campaign Review; 71 Brand Asset Approval; 72 Client Review; 76 Review Status,67 Creative Approval Workflow; 102 Asset Status Management,67 Creative Approval Workflow; 69 Creative Review; 70 Campaign Review; 71 Brand Asset Approval,370 What Is Creative Approval?,,,0,Start free -> https://getsibu.com/signup,Build a Smarter Creative Workflow -> /get-started/build-a-smarter-creative-workflow,Asset Approval | GetSibu,"Assets can move through an approval process with status history, creating a clear record of whether content is awaiting review, approved or requires changes.",/features/asset-approval,WebPage BreadcrumbList,"index,follow",true,Collaboration,product-ui diagram,"Feedback attached to the work itself: a comment pinned to a timeline frame, a thread beside an image, an approval state changing.",,false,published,,"Assets can move through an approval process with status history, creating a clear record of whether content is awaiting review, approved or requires changes."
69,Creative Review,61-90 Collaboration,canonical,,Features,collaboration,leaf,/features/creative-review,,/features/collaboration,Home > Features > Collaboration > Creative Review,B Feature,feature-media,creative review,commercial,"Explain one capability: what it does, how it works in the library, and where it fits in the team's workflow.","Creative review provides a central location for teams to inspect work, discuss changes and confirm final assets.","A central place to inspect work, discuss changes and confirm finals. / The review space: inspect work, discuss changes, confirm final assets.",Video and creative review; Approvals,67 Creative Approval Workflow; 64 Video Timeline Comments; 68 Asset Approval; 70 Campaign Review; 71 Brand Asset Approval; 72 Client Review,,67 Creative Approval Workflow; 64 Video Timeline Comments; 68 Asset Approval; 70 Campaign Review,370 What Is Creative Approval?,385 Does GetSibu Support Video Comments?,,0,Start free -> https://getsibu.com/signup,Build a Smarter Creative Workflow -> /get-started/build-a-smarter-creative-workflow,Creative Review | GetSibu,"Creative review provides a central location for teams to inspect work, discuss changes and confirm final assets.",/features/creative-review,WebPage BreadcrumbList,"index,follow",true,Collaboration,product-ui diagram,"Feedback attached to the work itself: a comment pinned to a timeline frame, a thread beside an image, an approval state changing.",,false,published,,"Creative review provides a central location for teams to inspect work, discuss changes and confirm final assets."
70,Campaign Review,61-90 Collaboration,canonical,,Features,collaboration,leaf,/features/campaign-review,,/features/collaboration,Home > Features > Collaboration > Campaign Review,B Feature,feature-split,campaign review,commercial,"Explain one capability: what it does, how it works in the library, and where it fits in the team's workflow.",Marketing teams can use asset-level discussions and approvals to review campaign materials before distribution.,Campaign materials reviewed before distribution.,Approvals,67 Creative Approval Workflow; 69 Creative Review; 71 Brand Asset Approval; 68 Asset Approval; 72 Client Review; 76 Review Status,67 Creative Approval Workflow,67 Creative Approval Workflow; 69 Creative Review; 71 Brand Asset Approval; 68 Asset Approval,370 What Is Creative Approval?,,,0,Start free -> https://getsibu.com/signup,Build a Smarter Creative Workflow -> /get-started/build-a-smarter-creative-workflow,Campaign Review | GetSibu,Marketing teams can use asset-level discussions and approvals to review campaign materials before distribution.,/features/campaign-review,WebPage BreadcrumbList,"index,follow",true,Collaboration,product-ui diagram,"Feedback attached to the work itself: a comment pinned to a timeline frame, a thread beside an image, an approval state changing.",,false,published,,Marketing teams can use asset-level discussions and approvals to review campaign materials before distribution.
71,Brand Asset Approval,61-90 Collaboration,canonical,,Features,collaboration,leaf,/features/brand-asset-approval,,/features/collaboration,Home > Features > Collaboration > Brand Asset Approval,E Governance / Lifecycle,workflow-states,brand asset approval,commercial,"Explain how an asset moves through versions, statuses and lifecycle stages, and what record is kept.",Brand teams can use approval gates to ensure that approved creative assets are separated from drafts and work-in-progress materials.,Approval gates separating approved brand assets from drafts.,Approvals; Brand control,103 Approved Asset Library; 67 Creative Approval Workflow; 70 Campaign Review; 72 Client Review; 69 Creative Review; 68 Asset Approval,67 Creative Approval Workflow,103 Approved Asset Library; 67 Creative Approval Workflow; 70 Campaign Review; 72 Client Review,370 What Is Creative Approval?,,214 GetSibu for Brand Teams,0,Start free -> https://getsibu.com/signup,Build a Smarter Creative Workflow -> /get-started/build-a-smarter-creative-workflow,Brand Asset Approval | GetSibu,Brand teams can use approval gates to ensure that approved creative assets are separated from drafts and work-in-progress materials.,/features/brand-asset-approval,WebPage BreadcrumbList,"index,follow",true,Collaboration,product-ui diagram,"Feedback attached to the work itself: a comment pinned to a timeline frame, a thread beside an image, an approval state changing.",,false,published,,Brand teams can use approval gates to ensure that approved creative assets are separated from drafts and work-in-progress materials.
72,Client Review,61-90 Collaboration,canonical,,Features,collaboration,leaf,/features/client-review,,/features/collaboration,Home > Features > Collaboration > Client Review,B Feature,feature-story,client review,commercial,"Explain one capability: what it does, how it works in the library, and where it fits in the team's workflow.",Agencies can use GetSibu to maintain client-specific libraries and review workflows while keeping different clients isolated.,Client-specific review with clients kept isolated. / Client review workflows per isolated client (see approvals).,Approvals; Multi-tenancy,67 Creative Approval Workflow; 160 Multi-Tenant Digital Asset Management; 71 Brand Asset Approval; 70 Campaign Review; 69 Creative Review; 68 Asset Approval,,67 Creative Approval Workflow; 160 Multi-Tenant Digital Asset Management; 71 Brand Asset Approval; 70 Campaign Review,370 What Is Creative Approval?; 372 What Is Multi-Tenant DAM?,387 Does GetSibu Support Multiple Clients?,215 GetSibu for Creative Agencies,0,Start free -> https://getsibu.com/signup,Build a Smarter Creative Workflow -> /get-started/build-a-smarter-creative-workflow,Client Review | GetSibu,Agencies can use GetSibu to maintain client-specific libraries and review workflows while keeping different clients isolated.,/features/client-review,WebPage BreadcrumbList,"index,follow",true,Collaboration,product-ui diagram,"Feedback attached to the work itself: a comment pinned to a timeline frame, a thread beside an image, an approval state changing.",,false,published,,Agencies can use GetSibu to maintain client-specific libraries and review workflows while keeping different clients isolated.
73,Team Feedback,61-90 Collaboration,canonical,,Features,collaboration,leaf,/features/team-feedback,,/features/collaboration,Home > Features > Collaboration > Team Feedback,B Feature,feature-media,team feedback,commercial,"Explain one capability: what it does, how it works in the library, and where it fits in the team's workflow.","Feedback stays connected to the asset rather than being scattered across email, chat and project-management systems.","Problem framing: feedback scattered across email, chat and project tools.",Comments and feedback,62 Asset Comments; 74 Creative Feedback Management; 75 Asset Discussion History; 66 Team Mentions; 63 Threaded Comments; 61 Creative Team Collaboration,,62 Asset Comments; 74 Creative Feedback Management; 75 Asset Discussion History; 66 Team Mentions,,,,0,Start free -> https://getsibu.com/signup,Build a Smarter Creative Workflow -> /get-started/build-a-smarter-creative-workflow,Team Feedback | GetSibu,"Feedback stays connected to the asset rather than being scattered across email, chat and project-management systems.",/features/team-feedback,WebPage BreadcrumbList,"index,follow",true,Collaboration,product-ui diagram,"Feedback attached to the work itself: a comment pinned to a timeline frame, a thread beside an image, an approval state changing.",,false,published,,"Feedback stays connected to the asset rather than being scattered across email, chat and project-management systems."
74,Creative Feedback Management,61-90 Collaboration,canonical,,Features,collaboration,leaf,/features/creative-feedback-management,,/features/collaboration,Home > Features > Collaboration > Creative Feedback Management,B Feature,feature-split,creative feedback management,commercial,"Explain one capability: what it does, how it works in the library, and where it fits in the team's workflow.",GetSibu turns creative feedback into an organised workflow by attaching discussions directly to the relevant asset.,Feedback as an organised workflow attached to the asset.,Comments and feedback,62 Asset Comments; 73 Team Feedback; 75 Asset Discussion History; 66 Team Mentions; 63 Threaded Comments; 85 Creative Team Communication,,62 Asset Comments; 73 Team Feedback; 75 Asset Discussion History; 66 Team Mentions,,,,0,Start free -> https://getsibu.com/signup,Build a Smarter Creative Workflow -> /get-started/build-a-smarter-creative-workflow,Creative Feedback Management | GetSibu,GetSibu turns creative feedback into an organised workflow by attaching discussions directly to the relevant asset.,/features/creative-feedback-management,WebPage BreadcrumbList,"index,follow",true,Collaboration,product-ui diagram,"Feedback attached to the work itself: a comment pinned to a timeline frame, a thread beside an image, an approval state changing.",,false,published,,GetSibu turns creative feedback into an organised workflow by attaching discussions directly to the relevant asset.
75,Asset Discussion History,61-90 Collaboration,canonical,,Features,collaboration,leaf,/features/asset-discussion-history,,/features/collaboration,Home > Features > Collaboration > Asset Discussion History,B Feature,feature-story,asset discussion history,commercial,"Explain one capability: what it does, how it works in the library, and where it fits in the team's workflow.",Asset discussion history allows teams to understand how feedback evolved over time.,How feedback evolved: discussion history.,Comments and feedback,62 Asset Comments; 74 Creative Feedback Management; 73 Team Feedback; 66 Team Mentions; 85 Creative Team Communication; 86 Asset Mentions,,62 Asset Comments; 74 Creative Feedback Management; 73 Team Feedback; 66 Team Mentions,,,,0,Start free -> https://getsibu.com/signup,Build a Smarter Creative Workflow -> /get-started/build-a-smarter-creative-workflow,Asset Discussion History | GetSibu,Asset discussion history allows teams to understand how feedback evolved over time.,/features/asset-discussion-history,WebPage BreadcrumbList,"index,follow",true,Collaboration,product-ui diagram,"Feedback attached to the work itself: a comment pinned to a timeline frame, a thread beside an image, an approval state changing.",,false,published,,Asset discussion history allows teams to understand how feedback evolved over time.
76,Review Status,61-90 Collaboration,canonical,,Features,collaboration,leaf,/features/review-status,,/features/collaboration,Home > Features > Collaboration > Review Status,E Governance / Lifecycle,workflow-record,review status,commercial,"Explain how an asset moves through versions, statuses and lifecycle stages, and what record is kept.",Review status gives users a clear indication of whether an asset needs attention or has already completed the approval process.,The status indicator: needs attention or completed.,Approvals,67 Creative Approval Workflow; 77 Approval History; 72 Client Review; 71 Brand Asset Approval; 70 Campaign Review; 69 Creative Review,67 Creative Approval Workflow,67 Creative Approval Workflow; 77 Approval History; 72 Client Review; 71 Brand Asset Approval,370 What Is Creative Approval?,,,0,Start free -> https://getsibu.com/signup,Build a Smarter Creative Workflow -> /get-started/build-a-smarter-creative-workflow,Review Status | GetSibu,Review status gives users a clear indication of whether an asset needs attention or has already completed the approval process.,/features/review-status,WebPage BreadcrumbList,"index,follow",true,Collaboration,product-ui diagram,"Feedback attached to the work itself: a comment pinned to a timeline frame, a thread beside an image, an approval state changing.",,false,published,,Review status gives users a clear indication of whether an asset needs attention or has already completed the approval process.
77,Approval History,61-90 Collaboration,canonical,,Features,collaboration,leaf,/features/approval-history,,/features/collaboration,Home > Features > Collaboration > Approval History,E Governance / Lifecycle,workflow-timeline,approval history,commercial,"Explain how an asset moves through versions, statuses and lifecycle stages, and what record is kept.","Approval history provides a record of review activity, supporting accountability and reducing confusion around which version was accepted.",The record of review activity and which version was accepted. / Approval record (see approvals).,Approvals; Audit trail and history,67 Creative Approval Workflow; 119 Asset Audit Trail; 76 Review Status; 72 Client Review; 71 Brand Asset Approval; 70 Campaign Review,67 Creative Approval Workflow,67 Creative Approval Workflow; 119 Asset Audit Trail; 76 Review Status; 72 Client Review,370 What Is Creative Approval?,,,0,Start free -> https://getsibu.com/signup,Build a Smarter Creative Workflow -> /get-started/build-a-smarter-creative-workflow,Approval History | GetSibu,"Approval history provides a record of review activity, supporting accountability and reducing confusion around which version was accepted.",/features/approval-history,WebPage BreadcrumbList,"index,follow",true,Collaboration,product-ui diagram,"Feedback attached to the work itself: a comment pinned to a timeline frame, a thread beside an image, an approval state changing.",,false,published,,"Approval history provides a record of review activity, supporting accountability and reducing confusion around which version was accepted."
78,Team Asset Sharing,61-90 Collaboration,canonical,,Features,collaboration,leaf,/features/team-asset-sharing,,/features/collaboration,Home > Features > Collaboration > Team Asset Sharing,B Feature,feature-media,team asset sharing,commercial,"Explain one capability: what it does, how it works in the library, and where it fits in the team's workflow.",Teams can share saved searches and relevant library views without creating duplicate copies of the same files.,Sharing without creating duplicate copies of files.,Saved and shared views,79 Shared Creative Views; 17 Saved Asset Searches; 40 AI Duplicate Detection; 77 Approval History; 76 Review Status; 80 Creative Workflow Management,17 Saved Asset Searches; 40 AI Duplicate Detection,79 Shared Creative Views; 17 Saved Asset Searches; 40 AI Duplicate Detection; 77 Approval History,,,,0,Start free -> https://getsibu.com/signup,Build a Smarter Creative Workflow -> /get-started/build-a-smarter-creative-workflow,Team Asset Sharing | GetSibu,Teams can share saved searches and relevant library views without creating duplicate copies of the same files.,/features/team-asset-sharing,WebPage BreadcrumbList,"index,follow",true,Collaboration,product-ui diagram,"Feedback attached to the work itself: a comment pinned to a timeline frame, a thread beside an image, an approval state changing.",,false,published,,Teams can share saved searches and relevant library views without creating duplicate copies of the same files.
79,Shared Creative Views,61-90 Collaboration,canonical,,Features,collaboration,leaf,/features/shared-creative-views,,/features/collaboration,Home > Features > Collaboration > Shared Creative Views,B Feature,feature-split,shared creative views,commercial,"Explain one capability: what it does, how it works in the library, and where it fits in the team's workflow.","Saved views allow recurring collections of assets to be shared through a URL, making collaboration easier.",Recurring collections shared through a URL.,Saved and shared views,78 Team Asset Sharing; 17 Saved Asset Searches; 80 Creative Workflow Management; 77 Approval History; 81 Production Collaboration,,78 Team Asset Sharing; 17 Saved Asset Searches; 80 Creative Workflow Management; 77 Approval History,,,,0,Start free -> https://getsibu.com/signup,Build a Smarter Creative Workflow -> /get-started/build-a-smarter-creative-workflow,Shared Creative Views | GetSibu,"Saved views allow recurring collections of assets to be shared through a URL, making collaboration easier.",/features/shared-creative-views,WebPage BreadcrumbList,"index,follow",true,Collaboration,product-ui diagram,"Feedback attached to the work itself: a comment pinned to a timeline frame, a thread beside an image, an approval state changing.",saved-search-urls,false,published,,"Saved views allow recurring collections of assets to be shared through a URL, making collaboration easier."
80,Creative Workflow Management,61-90 Collaboration,canonical,,Features,collaboration,leaf,/features/creative-workflow-management,,/features/collaboration,Home > Features > Collaboration > Creative Workflow Management,B Feature,feature-story,creative workflow management,commercial,"Explain one capability: what it does, how it works in the library, and where it fits in the team's workflow.","GetSibu supports the movement of assets from upload through organisation, review, approval and final use.",,End-to-end creative workflow,67 Creative Approval Workflow; 90 Creative Team Workspace; 54 AI Creative Workflow; 107 Creative Asset Lifecycle; 208 Creative Workflow Metrics; 79 Shared Creative Views,67 Creative Approval Workflow,67 Creative Approval Workflow; 90 Creative Team Workspace; 54 AI Creative Workflow; 107 Creative Asset Lifecycle,,,,0,Start free -> https://getsibu.com/signup,Build a Smarter Creative Workflow -> /get-started/build-a-smarter-creative-workflow,Creative Workflow Management | GetSibu,"GetSibu supports the movement of assets from upload through organisation, review, approval and final use.",/features/creative-workflow-management,WebPage BreadcrumbList,"index,follow",true,Collaboration,product-ui diagram,"Feedback attached to the work itself: a comment pinned to a timeline frame, a thread beside an image, an approval state changing.",,false,published,,"GetSibu supports the movement of assets from upload through organisation, review, approval and final use."
81,Production Collaboration,61-90 Collaboration,canonical,,Features,collaboration,leaf,/features/production-collaboration,,/features/collaboration,Home > Features > Collaboration > Production Collaboration,B Feature,feature-media,production collaboration,commercial,"Explain one capability: what it does, how it works in the library, and where it fits in the team's workflow.","Production teams can use asset comments, versioning and timeline review to coordinate creative work.","Production teams combining comments, versioning and timeline review.",Video and creative review; Collaboration by team,64 Video Timeline Comments; 90 Creative Team Workspace; 82 Marketing Collaboration; 83 Brand Collaboration; 84 Agency Collaboration; 87 Collaborative Asset Review,62 Asset Comments; 91 Creative Asset Versioning; 64 Video Timeline Comments,64 Video Timeline Comments; 90 Creative Team Workspace; 82 Marketing Collaboration; 83 Brand Collaboration,379 Future of Creative Collaboration,385 Does GetSibu Support Video Comments?,,0,Start free -> https://getsibu.com/signup,Build a Smarter Creative Workflow -> /get-started/build-a-smarter-creative-workflow,Production Collaboration | GetSibu,"Production teams can use asset comments, versioning and timeline review to coordinate creative work.",/features/production-collaboration,WebPage BreadcrumbList,"index,follow",true,Collaboration,product-ui diagram,"Feedback attached to the work itself: a comment pinned to a timeline frame, a thread beside an image, an approval state changing.",,false,published,,"Production teams can use asset comments, versioning and timeline review to coordinate creative work."
