pdf_page,pdf_group,pdf_topic,pdf_words,website_url,http_status,redirect_to,exists,published,indexable,in_sitemap,in_search,in_navigation,hub_linked,inbound_contextual,inbound_hub,own_pdf_text_rendered,topic_match,content_match,content_depth,structure_match,structure_elements,topic_specific_words,context_words,topic_sections_beyond_hero,max_prose_overlap,most_similar_pdf_page,duplication,hero_visual,claims,context_page,status,notes
17,11-30 Core Product Pages,Saved Asset Searches,31,/features/saved-asset-searches,200,,yes,published,yes,yes,yes,mega menu,yes,30,3,yes,PASS,PASS,developed,PASS,hero|introduction|features|workflow|cta,59,33,2,0.221,30,no,search-signals:comments,saved-search-urls,,PASS,
18,11-30 Core Product Pages,Natural Language Asset Search,36,/features/natural-language-asset-search,200,,yes,published,yes,yes,yes,no,yes,18,3,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|benefits|workflow|cta,50,114,1,0.456,53,no,search-signals:semantic,semantic-search,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
19,11-30 Core Product Pages,Advanced Media Filters,31,/features/advanced-media-filters,200,,yes,published,yes,yes,yes,no,yes,18,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,46,101,1,0.29,20,no,search-signals:metadata,,,PARTIAL,"Topic (manual): Missing term is a modifier (e.g. 'Powered', 'Advanced', 'DAM'); the PDF paragraph states the topic. / Topic developed in the hero plus at most one section; other sections are related PDF context"
20,11-30 Core Product Pages,Fast Asset Discovery,31,/features/fast-asset-discovery,200,,yes,framed,yes,yes,yes,no,yes,4,2,no,PARTIAL,PARTIAL,withheld,PARTIAL,hero|features|workflow|cta,0,69,0,0.382,39,no,search-signals,sub-second-search,/architecture/fast-creative-search,PARTIAL,Topic (manual): Hero from PDF 307 (low-latency search) conveys fast discovery; sub-second claim withheld. / Framed: own PDF paragraph withheld (claims: sub-second-search); verified context from PDF 307
21,11-30 Core Product Pages,Creative Asset Indexing,29,/features/creative-asset-indexing,200,,yes,published,yes,yes,yes,no,yes,38,4,yes,PASS,PASS,developed,PASS,hero|introduction|features|workflow|cta,82,132,2,0.35,146,no,search-signals:metadata,,,PASS,
22,11-30 Core Product Pages,Media Metadata Management,33,/features/media-metadata-management,200,,yes,published,yes,yes,yes,no,yes,18,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,50,46,1,0.193,19,no,search-signals:metadata,metadata-preserved,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
23,11-30 Core Product Pages,Asset Metadata Search,29,/features/asset-metadata-search,200,,yes,published,yes,yes,yes,no,yes,19,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,45,29,1,0.196,374,no,search-signals:metadata,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
24,11-30 Core Product Pages,Creative File Discovery,34,/features/creative-file-discovery,200,,yes,published,yes,yes,yes,no,yes,12,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|benefits|workflow|cta,55,97,1,0.558,30,no,media-library,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
25,11-30 Core Product Pages,Searchable Video Library,21,/features/searchable-video-library,200,,yes,published,yes,yes,yes,no,yes,26,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,42,97,1,0.262,57,no,media-library:video,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
26,11-30 Core Product Pages,Searchable Image Library,22,/features/searchable-image-library,200,,yes,published,yes,yes,yes,no,yes,27,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|benefits|workflow|cta,36,29,1,0.584,11,no,media-library:image,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
27,11-30 Core Product Pages,Searchable Document Library,23,/features/searchable-document-library,200,,yes,published,yes,yes,yes,no,yes,26,2,yes,PASS,PASS,developed,PASS,hero|introduction|features|benefits|workflow|faq|cta,48,67,2,0.303,24,no,media-library:document,,,PASS,
28,11-30 Core Product Pages,Searchable Audio Library,28,/features/searchable-audio-library,200,,yes,published,yes,yes,yes,no,yes,25,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,42,61,1,0.35,20,no,media-library:audio,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
29,11-30 Core Product Pages,Creative Library Navigation,24,/features/creative-library-navigation,200,,yes,published,yes,yes,yes,no,yes,11,2,yes,PASS,PARTIAL,thin,PASS,hero|introduction|features|workflow|cta,24,170,0,0.337,10,no,library-search,,,PARTIAL,THIN: topic-specific content is only the 24-word PDF paragraph in the hero; every other section is neighbouring-topic context
30,11-30 Core Product Pages,Asset Discovery Workflow,33,/features/asset-discovery-workflow,200,,yes,published,yes,yes,yes,no,yes,8,2,yes,PASS,PARTIAL,thin,PASS,hero|introduction|features|benefits|workflow|cta,33,142,0,0.558,24,no,library-search,,,PARTIAL,THIN: topic-specific content is only the 33-word PDF paragraph in the hero; every other section is neighbouring-topic context
31,31-60 AI Features,AI-Assisted Tagging,29,/features/ai-assisted-tagging,200,,yes,published,yes,yes,yes,mega menu,yes,70,5,yes,PASS,PASS,developed,PASS,hero|introduction|features|workflow|faq|cta,77,188,3,0.35,381,no,ai-review:tags,ai-tagging,,PASS,
32,31-60 AI Features,AI Vision Analysis,20,/features/ai-vision-analysis,200,,yes,framed,yes,yes,yes,no,yes,4,2,no,PARTIAL,PARTIAL,withheld,PASS,hero|introduction|features|workflow|cta,42,111,2,0.468,34,no,ai-review,ai-vision-attributes scene-detection,/features/ai-object-detection,PARTIAL,"Topic (manual): Objects, moods, colours and media understanding convey vision analysis; scenes withheld. / Framed: own PDF paragraph withheld (claims: ai-vision-attributes, scene-detection); verified context from PDF 34"
33,31-60 AI Features,AI Scene Detection,25,/features/ai-scene-detection,307,/features/practical-ai-for-creative-teams,held (not routed),held,no,no,no,no,no,0,0,no,BLOCKED,BLOCKED,blocked,BLOCKED,,0,0,0,,,,,scene-detection,/features/practical-ai-for-creative-teams,BLOCKED — UNCONFIRMED CLAIM,Title states an unconfirmed claim / 307 → /features/practical-ai-for-creative-teams until claim(s) scene-detection are client-confirmed
34,31-60 AI Features,AI Object Detection,24,/features/ai-object-detection,200,,yes,published,yes,yes,yes,no,yes,11,2,yes,PASS,PARTIAL,thin,PASS,hero|introduction|features|workflow|cta,24,145,0,0.531,42,no,ai-review:object,ai-vision-attributes,,PARTIAL,THIN: topic-specific content is only the 24-word PDF paragraph in the hero; every other section is neighbouring-topic context
35,31-60 AI Features,AI Mood Detection,26,/features/ai-mood-detection,200,,yes,published,yes,yes,yes,no,yes,11,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,40,47,1,0.155,34,no,ai-review:mood,ai-vision-attributes,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
36,31-60 AI Features,AI Colour Detection,27,/features/ai-colour-detection,200,,yes,published,yes,yes,yes,no,yes,15,2,yes,PASS,PARTIAL,thin,PASS,hero|introduction|features|workflow|cta,27,149,0,0.572,43,no,ai-review:colour,ai-vision-attributes,,PARTIAL,"Topic (manual): Missing term is a modifier (e.g. 'Powered', 'Advanced', 'DAM'); the PDF paragraph states the topic. / THIN: topic-specific content is only the 27-word PDF paragraph in the hero; every other section is neighbouring-topic context"
37,31-60 AI Features,AI Face Grouping,27,/features/ai-face-grouping,307,/features/practical-ai-for-creative-teams,held (not routed),held,no,no,no,no,no,0,0,no,BLOCKED,BLOCKED,blocked,BLOCKED,,0,0,0,,,,,face-grouping,/features/practical-ai-for-creative-teams,BLOCKED — UNCONFIRMED CLAIM,Title states an unconfirmed claim / 307 → /features/practical-ai-for-creative-teams until claim(s) face-grouping are client-confirmed
38,31-60 AI Features,AI OCR,21,/features/ai-ocr,200,,yes,published,yes,yes,yes,mega menu,yes,17,4,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|faq|cta,21,68,0,0.356,53,no,search-signals:ocr,ocr,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
39,31-60 AI Features,AI Semantic Search,22,/features/ai-semantic-search,200,,yes,published,yes,yes,yes,no,yes,9,3,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,37,109,1,0.382,20,no,search-signals:semantic,semantic-search,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
40,31-60 AI Features,AI Duplicate Detection,25,/features/ai-duplicate-detection,200,,yes,published,yes,yes,yes,mega menu,yes,10,3,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|benefits|workflow|cta,32,96,1,0.487,350,no,media-library,duplicate-detection,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
41,31-60 AI Features,AI Auto Collections,26,/features/ai-auto-collections,307,/features/ai-library-organisation,held (not routed),held,no,no,no,no,no,0,0,no,BLOCKED,BLOCKED,blocked,BLOCKED,,0,0,0,,,,,auto-collections,/features/ai-library-organisation,BLOCKED — UNCONFIRMED CLAIM,Title states an unconfirmed claim / 307 → /features/ai-library-organisation until claim(s) auto-collections are client-confirmed
42,31-60 AI Features,AI Asset Classification,18,/features/ai-asset-classification,200,,yes,published,yes,yes,yes,no,yes,10,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|faq|cta,18,47,0,0.706,46,near-duplicate,ai-review:tags,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context / Near-duplicate of PDF 46 /features/ai-tag-confidence (prose overlap 0.706)
43,31-60 AI Features,AI Media Understanding,22,/features/ai-media-understanding,200,,yes,published,yes,yes,yes,no,yes,19,2,yes,PASS,PASS,developed,PASS,hero|introduction|features|workflow|cta,59,151,2,0.689,50,near-duplicate,ingest-pipeline:processing,,,PARTIAL,Near-duplicate of PDF 50 /features/ai-media-indexing (prose overlap 0.689)
44,31-60 AI Features,AI Creative Intelligence,28,/features/ai-creative-intelligence,200,,yes,published,yes,yes,yes,no,yes,5,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,45,65,1,0.567,46,no,ingest-pipeline:processing,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
45,31-60 AI Features,AI-Powered Asset Management,23,/features/ai-powered-asset-management,200,,yes,published,yes,yes,yes,no,yes,9,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,23,36,0,0.239,36,no,ingest-pipeline:processing,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
46,31-60 AI Features,AI Tag Confidence,20,/features/ai-tag-confidence,200,,yes,published,yes,yes,yes,no,yes,19,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|faq|cta,40,169,1,0.706,42,near-duplicate,ai-review:confidence,ai-tagging,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context / Near-duplicate of PDF 42 /features/ai-asset-classification (prose overlap 0.706)
47,31-60 AI Features,AI Tag Approval,18,/features/ai-tag-approval,200,,yes,published,yes,yes,yes,mega menu,yes,24,3,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|faq|cta,56,53,1,0.549,364,no,ai-review:approve,ai-tagging,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
48,31-60 AI Features,AI Tag Override,22,/features/ai-tag-override,200,,yes,published,yes,yes,yes,no,yes,10,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|faq|cta,47,152,1,0.561,36,no,ai-review:override,ai-tagging,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
49,31-60 AI Features,AI Creative Search,22,/features/ai-creative-search,200,,yes,published,yes,yes,yes,no,yes,12,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,37,29,1,0.357,20,no,search-signals:semantic,semantic-search,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
50,31-60 AI Features,AI Media Indexing,17,/features/ai-media-indexing,200,,yes,published,yes,yes,yes,no,yes,16,2,yes,PASS,PASS,developed,PASS,hero|introduction|features|workflow|cta,56,161,2,0.689,43,near-duplicate,ingest-pipeline:processing,,,PARTIAL,Near-duplicate of PDF 43 /features/ai-media-understanding (prose overlap 0.689)
51,31-60 AI Features,AI-Powered Video Discovery,18,/features/ai-powered-video-discovery,200,,yes,framed,yes,yes,yes,no,yes,5,2,no,PARTIAL,PARTIAL,withheld,PASS,hero|introduction|features|workflow|cta,21,115,1,0.362,34,no,media-library:video,scene-detection,/features/ai-asset-discovery,PARTIAL,Topic (manual): AI discovery and video library content convey the topic; scene-based video search withheld. / Framed: own PDF paragraph withheld (claims: scene-detection); verified context from PDF 12
52,31-60 AI Features,AI-Powered Image Discovery,18,/features/ai-powered-image-discovery,200,,yes,published,yes,yes,yes,no,yes,4,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,18,150,0,0.39,43,no,media-library:image,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
53,31-60 AI Features,AI Document Discovery,18,/features/ai-document-discovery,200,,yes,published,yes,yes,yes,no,yes,9,2,yes,PASS,PARTIAL,thin,PASS,hero|introduction|features|benefits|workflow|faq|cta,18,101,0,0.621,15,near-duplicate,search-signals:ocr,ocr,,PARTIAL,THIN: topic-specific content is only the 18-word PDF paragraph in the hero; every other section is neighbouring-topic context / Near-duplicate of PDF 15 /features/ocr-powered-asset-search (prose overlap 0.621)
54,31-60 AI Features,AI Creative Workflow,32,/features/ai-creative-workflow,200,,yes,published,yes,yes,yes,no,yes,12,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,60,69,1,0.344,80,no,ingest-pipeline:processing,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
55,31-60 AI Features,AI Media Automation,15,/features/ai-media-automation,200,,yes,published,yes,yes,yes,no,yes,7,2,yes,PASS,PASS,developed,PASS,hero|introduction|features|workflow|cta,46,126,2,0.714,59,near-duplicate,ingest-pipeline:processing,ocr,,PARTIAL,Near-duplicate of PDF 59 /features/ai-creative-operations (prose overlap 0.714)
56,31-60 AI Features,AI Asset Recommendations,15,/features/ai-asset-recommendations,200,,yes,framed,yes,yes,yes,no,yes,2,2,no,FAIL,FAIL,absent,PASS,hero|introduction|features|workflow|cta,0,36,0,0.415,32,no,media-library,auto-collections,/features/ai-library-organisation,FAIL,"Topic (manual): Nothing on the page discusses recommendations; hero and body are AI organisation/intelligence context (PDF 57, 58, 55, 54)."
57,31-60 AI Features,AI Library Organisation,20,/features/ai-library-organisation,200,,yes,published,yes,yes,yes,no,yes,16,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,53,51,1,0.302,52,no,media-library,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
58,31-60 AI Features,AI Asset Intelligence,16,/features/ai-asset-intelligence,200,,yes,published,yes,yes,yes,no,yes,7,2,yes,PASS,PASS,developed,PASS,hero|introduction|features|workflow|cta,53,65,2,0.343,44,no,ingest-pipeline:processing,,,PASS,
59,31-60 AI Features,AI Creative Operations,23,/features/ai-creative-operations,200,,yes,published,yes,yes,yes,no,yes,7,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,23,36,0,0.714,55,near-duplicate,ingest-pipeline:processing,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context / Near-duplicate of PDF 55 /features/ai-media-automation (prose overlap 0.714)
60,31-60 AI Features,Practical AI for Creative Teams,28,/features/practical-ai-for-creative-teams,200,,yes,published,yes,yes,yes,no,yes,9,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,28,81,0,0.244,54,no,ingest-pipeline:processing,ocr duplicate-detection,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
61,61-90 Collaboration,Creative Team Collaboration,20,/features/creative-team-collaboration,200,,yes,published,yes,yes,yes,no,yes,24,5,yes,PASS,PASS,developed,PASS,hero|introduction|features|workflow|cta,70,167,2,0.389,10,no,timeline-review:comments,,,PASS,
62,61-90 Collaboration,Asset Comments,16,/features/asset-comments,200,,yes,published,yes,yes,yes,no,yes,39,2,yes,PASS,PASS,developed,PASS,hero|introduction|features|workflow|faq|cta,55,108,3,0.359,86,no,timeline-review:comments,,,PASS,
63,61-90 Collaboration,Threaded Comments,20,/features/threaded-comments,200,,yes,published,yes,yes,yes,mega menu,yes,24,3,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|benefits|workflow|cta,40,33,1,0.366,79,no,timeline-review:comments,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
64,61-90 Collaboration,Video Timeline Comments,21,/features/video-timeline-comments,200,,yes,published,yes,yes,yes,mega menu,yes,34,3,yes,PASS,PASS,developed,PASS,hero|introduction|features|workflow|faq|cta,58,88,3,0.35,385,no,timeline-review:timeline,timeline-comments,,PASS,
65,61-90 Collaboration,Frame-Accurate Review,18,/features/frame-accurate-review,200,,yes,published,yes,yes,yes,no,yes,7,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|benefits|workflow|faq|cta,36,62,1,0.38,69,no,timeline-review:timeline,frame-accurate,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
66,61-90 Collaboration,Team Mentions,20,/features/team-mentions,200,,yes,published,yes,yes,yes,no,yes,20,2,yes,PASS,PASS,developed,PASS,hero|introduction|features|workflow|cta,40,145,2,0.538,75,no,timeline-review:comments,folder-aware-mentions,,PASS,
67,61-90 Collaboration,Creative Approval Workflow,17,/features/creative-approval-workflow,200,,yes,published,yes,yes,yes,mega menu,yes,48,3,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|benefits|workflow|cta,17,47,0,0.565,74,no,timeline-review:status,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
68,61-90 Collaboration,Asset Approval,24,/features/asset-approval,200,,yes,published,yes,yes,yes,no,yes,27,3,yes,PASS,PASS,developed,PASS,hero|introduction|features|workflow|cta,132,80,2,0.446,71,no,timeline-review:status,,,PASS,
69,61-90 Collaboration,Creative Review,17,/features/creative-review,200,,yes,published,yes,yes,yes,no,yes,25,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|benefits|faq|cta,106,23,1,0.38,65,no,timeline-review:status,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
70,61-90 Collaboration,Campaign Review,14,/features/campaign-review,200,,yes,published,yes,yes,yes,no,yes,8,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|benefits|workflow|cta,14,0,0,0.313,67,no,timeline-review:status,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
71,61-90 Collaboration,Brand Asset Approval,19,/features/brand-asset-approval,200,,yes,published,yes,yes,yes,no,yes,14,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,19,80,0,0.535,89,no,timeline-review:status,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
72,61-90 Collaboration,Client Review,16,/features/client-review,200,,yes,published,yes,yes,yes,no,yes,12,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|faq|cta,16,66,0,0.302,372,no,timeline-review:status,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
73,61-90 Collaboration,Team Feedback,16,/features/team-feedback,200,,yes,published,yes,yes,yes,no,yes,9,2,yes,PASS,PASS,developed,PASS,hero|introduction|features|workflow|cta,80,75,2,0.382,66,no,timeline-review:comments,,,PASS,
74,61-90 Collaboration,Creative Feedback Management,16,/features/creative-feedback-management,200,,yes,published,yes,yes,yes,no,yes,8,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|benefits|workflow|cta,52,38,1,0.565,67,no,timeline-review:comments,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
75,61-90 Collaboration,Asset Discussion History,12,/features/asset-discussion-history,200,,yes,published,yes,yes,yes,no,yes,8,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,12,44,0,0.814,86,duplicate,timeline-review:comments,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context / DUPLICATE of PDF 86 /features/asset-mentions (prose overlap 0.814)
76,61-90 Collaboration,Review Status,20,/features/review-status,200,,yes,published,yes,yes,yes,no,yes,16,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,64,11,1,0.387,89,no,timeline-review:status,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
77,61-90 Collaboration,Approval History,18,/features/approval-history,200,,yes,published,yes,yes,yes,no,yes,17,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,60,56,1,0.342,117,no,timeline-review:status,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
78,61-90 Collaboration,Team Asset Sharing,17,/features/team-asset-sharing,200,,yes,published,yes,yes,yes,no,yes,3,2,yes,PASS,PARTIAL,introduced,PASS,hero|introduction|features|workflow|cta,44,125,1,0.245,74,no,search-signals:comments,,,PARTIAL,Topic developed in the hero plus at most one section; other sections are related PDF context
79,61-90 Collaboration,Shared Creative Views,16,/features/shared-creative-views,200,,yes,published,yes,yes,yes,no,yes,3,2,yes,PASS,PARTIAL,thin,PASS,hero|introduction|features|benefits|workflow|cta,16,89,0,0.366,63,no,search-signals:comments,saved-search-urls,,PARTIAL,THIN: topic-specific content is only the 16-word PDF paragraph in the hero; every other section is neighbouring-topic context
